ID	Punto	ID_ref	location	salinity	type	pH	CE	CO	CT	NT	Ca	K	Mg	Na	CICE	P	S	Cu	Fe	Mn	Zn	B	Arcilla	Limo	Arena	Textura	Salinity	NO3	NH4
2B	20	VC4b	VC_M	M	mGenome	7.69	34.28	0.4	0.33	0.05	6.23	0.55	5.25	7.97	19.99	116	194	2.19	77.5	28.42	1.37	2.11	16	50	34	FL	14.61	NA	NA
2C	21	VC4C	VC_M	M	mGenome	8.03	46.2	0.47	0.39	0.05	13.46	0.8	7.85	21.13	43.25	101.08	463	2.53	54.1	27.86	0.92	1.95	18	44	38	F	14.61	NA	NA
3A	22	VC5A	VC_L	L	mGenome	7.8	19.28	0.63	0.82	0.04	5.54	0.53	4.92	7.53	18.52	102.19	189	2.28	75.2	25.53	1.35	2.09	16	22	62	FA	2.8	NA	NA
3B	23	VC5B	VC_L	L	mGenome	8.06	31.88	0.47	0.43	0.08	5.17	0.53	4.5	9.55	19.75	100.12	222	1.4	62.4	26.6	1.2	2.36	8	28	64	FA	2.8	NA	NA
3C	24	VC5C	VC_L	L	mGenome	7.76	21.54	0.69	0.81	0.13	5.55	0.51	4.95	8.41	19.42	88.73	180	1.37	98.9	34.76	1.27	2.33	14	34	52	F	2.8	NA	NA
4A	25	VC6A	VC_H	H	mGenome	8.46	71.2	0.22	0.1	0.1	9.34	0.73	6.29	26.91	43.27	74.72	294	0.98	42.2	12.4	0.61	1.94	16	28	56	FA	61.52	NA	NA
4B	26	VC6B	VC_H	H	mGenome	8.45	53.2	0.21	0.1	0.01	8.97	0.73	6.75	24.96	41.41	76.02	291	1.05	40.2	6.99	0.54	2.17	14	28	58	FA	61.52	NA	NA
4C	27	VC6C	VC_H	H	mGenome	8.39	52.4	0.24	0.18	0.05	8.81	0.65	5.94	21.74	37.14	86.11	238	1.05	43.9	14.55	0.84	2.28	16	22	62	FA	61.52	NA	NA
MmtII1	28	VC3A	VC	N	mTranscrip	7.47	40.2	0.54	NA	0.24	7.11	1.69	14	37	59.8	120	533	3.72	174	128	1.89	3.99	51	29	20	Ar	NA	0	0
MmtII2	29	VC3B	VC	N	mTranscrip	7.56	43.6	0.48	NA	0.14	6.59	1.73	13.8	36.9	59	120	849	3.7	181	126	1.86	3.86	49	39	12	Ar	NA	0	3.2
MmtII3	30	VC3C	VC	N	mTranscrip	7.53	43.6	0.5	NA	0.23	5.14	1.79	14	39.1	60	120	523	3.66	151	102	1.91	3.66	49	41	10	ArL	NA	0	2.43
