ID	1_taxonomic_profile	10_taxonomic_profile	13_taxonomic_profile	16_taxonomic_profile	17_2_taxonomic_profile	17_taxonomic_profile	18_taxonomic_profile	19_taxonomic_profile	20_taxonomic_profile	21_taxonomic_profile	22_taxonomic_profile	23_taxonomic_profile	24_taxonomic_profile	25_taxonomic_profile	26_taxonomic_profile	27_taxonomic_profile	2A_taxonomic_profile	2B_taxonomic_profile	2C_taxonomic_profile	3A_taxonomic_profile	3B_taxonomic_profile	4_taxonomic_profile	8_2_taxonomic_profile	8_taxonomic_profile	MmtII1_2_taxonomic_profile	MmtII1_taxonomic_profile	MmtII2_2_taxonomic_profile	MmtII2_taxonomic_profile	MmtII3_2_taxonomic_profile	MmtII3_taxonomic_profile	MmtII1_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Natrinema|s__Natrinema_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14379	0.4932	0.0	0.0	8.48468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Natronorubrum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37383	0.0	0.15158	0.0	2.87798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Natronorubrum|s__Natronorubrum_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37383	0.0	0.15158	0.0	2.87798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	0.0	6.24172	5.17191	3.32314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	0.0	6.24172	5.17191	3.32314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae	0.0	6.24172	5.17191	3.32314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina	0.0	6.24172	5.17191	3.32314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_acetivorans	0.0	0.0	4.01976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_acetivorans|t__GCF_000007345	0.0	0.0	4.01976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosarcinaceae|g__Methanosarcina|s__Methanosarcina_unclassified	0.0	6.24172	1.15215	3.32314	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota	3.64239	29.57518	17.71573	51.75558	0.0	0.53746	2.26686	0.64548	0.0	0.40469	1.70242	5.5072	1.78846	4.31721	5.44449	1.37942	24.80929	3.51932	0.0	66.33811	54.08579	3.08881	31.37106	29.23823	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname	3.64239	29.57518	17.71573	51.75558	0.0	0.53746	2.26686	0.64548	0.0	0.40469	1.70242	5.5072	1.78846	4.31721	5.44449	1.37942	24.80929	3.51932	0.0	66.33811	54.08579	3.08881	31.37106	29.23823	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales	3.64239	29.57518	17.71573	51.75558	0.0	0.53746	2.26686	0.64548	0.0	0.40469	1.70242	5.5072	1.78846	4.31721	5.44449	1.37942	24.80929	3.51932	0.0	66.33811	54.08579	3.08881	31.37106	29.23823	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae	3.64239	29.57518	17.71573	51.75558	0.0	0.53746	2.26686	0.64548	0.0	0.40469	1.70242	5.5072	1.78846	4.31721	5.44449	1.37942	24.80929	3.51932	0.0	66.33811	54.08579	3.08881	31.37106	29.23823	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilaceae_unclassified	3.31524	25.33825	13.4026	35.76254	0.0	0.53746	2.26686	0.64548	0.0	0.40469	1.70242	5.5072	1.78846	4.31721	5.44449	1.37942	24.80929	3.51932	0.0	44.08848	35.80953	3.08881	18.95307	18.04503	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus	0.32715	4.23693	4.31313	15.99304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.24963	18.27626	0.0	12.41799	11.1932	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus|s__Nitrosopumilus_unclassified	0.32715	4.23693	4.31313	15.99304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.24963	18.27626	0.0	12.41799	11.1932	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria	71.98453	15.45011	39.03748	12.3287	0.0	45.28411	21.62679	20.94471	64.57463	51.36252	49.62105	31.93119	42.10625	21.42429	45.42374	59.43847	43.67244	95.40228	75.71349	17.97009	37.00977	79.48287	44.84188	46.01217	99.81633	99.82826	99.92598	99.90959	98.31497	98.34702	99.82826
k__Bacteria|p__Acidobacteria	0.0	0.0	2.46255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	0.0	0.0	2.46255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	0.0	0.0	2.46255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	0.0	0.0	2.46255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified	0.0	0.0	2.46255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria	3.5158	0.0	2.18018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.00095	13.66088	0.0	0.0	0.0	0.0	0.0	0.0	3.05988	0.0	2.00555	8.09023	11.95406	0.00434	0.01948	0.03795	0.0	0.0964	0.04937	0.01948
k__Bacteria|p__Actinobacteria|c__Actinobacteria	3.5158	0.0	2.18018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.00095	13.66088	0.0	0.0	0.0	0.0	0.0	0.0	3.05988	0.0	2.00555	8.09023	11.95406	0.00434	0.01948	0.03795	0.0	0.0964	0.04937	0.01948
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	3.5158	0.0	2.18018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.00095	13.66088	0.0	0.0	0.0	0.0	0.0	0.0	3.05988	0.0	2.00555	7.20366	9.77509	0.00434	0.01948	0.03795	0.0	0.0964	0.04937	0.01948
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae	0.0	0.0	2.18018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78563	3.41711	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus	0.0	0.0	2.18018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78563	3.41711	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_ruber	0.0	0.0	2.18018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78563	3.41711	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_ruber|t__Rhodococcus_ruber_unclassified	0.0	0.0	2.18018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78563	3.41711	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiopsaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00434	0.01948	0.03795	0.0	0.0964	0.04937	0.01948
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiopsaceae|g__Nocardiopsis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00434	0.01948	0.03795	0.0	0.0964	0.04937	0.01948
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiopsaceae|g__Nocardiopsis|s__Nocardiopsis_lucentensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00434	0.01948	0.03795	0.0	0.0964	0.04937	0.01948
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardiopsaceae|g__Nocardiopsis|s__Nocardiopsis_lucentensis|t__GCF_000341125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00434	0.01948	0.03795	0.0	0.0964	0.04937	0.01948
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Promicromonosporaceae	3.5158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.00095	13.66088	0.0	0.0	0.0	0.0	0.0	0.0	3.05988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Promicromonosporaceae|g__Promicromonosporaceae_unclassified	3.5158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.00095	13.66088	0.0	0.0	0.0	0.0	0.0	0.0	3.05988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.00555	1.91157	4.2876	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Amycolatopsis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91157	1.89932	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis_halophila	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91157	1.89932	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Amycolatopsis|s__Amycolatopsis_halophila|t__GCF_000504245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91157	1.89932	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Saccharopolyspora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.00555	0.0	2.38829	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Saccharopolyspora|s__Saccharopolyspora_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.00555	0.0	2.38829	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptosporangiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.50646	2.07037	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptosporangiaceae|g__Streptosporangiaceae_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.50646	2.07037	0.0	0.0	0.0	0.0	0.0	0.0	0.0
